City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Nikolskoye,59.7035,30.7861,62.49,84,42,3.29,RU,2022-08-03 23:12:05
Ushuaia,-54.8,-68.3,37.06,87,40,3.44,AR,2022-08-03 23:11:36
Tasiilaq,65.6145,-37.6368,33.96,71,79,3.15,GL,2022-08-03 23:12:48
Charter Township of Clinton,42.587,-82.9199,75.22,97,100,10.36,US,2022-08-03 23:16:29
Coahuayana Viejo,18.7333,-103.6833,88.52,63,97,5.88,MX,2022-08-03 23:19:56
Tariba,7.8188,-72.2243,75.76,91,92,1.43,VE,2022-08-03 23:19:56
Punta Arenas,-53.15,-70.9167,39.31,87,100,13.8,CL,2022-08-03 23:11:51
Busselton,-33.65,115.3333,52.48,72,90,16.98,AU,2022-08-03 23:12:41
Kruisfontein,-34.0033,24.7314,54.09,95,64,6.35,ZA,2022-08-03 23:19:58
Yellowknife,62.456,-114.3525,60.35,48,85,3.94,CA,2022-08-03 23:12:24
Gouré,13.9835,10.2704,79.83,70,17,5.44,NE,2022-08-03 23:19:58
Taoudenni,22.6783,-3.9836,91.29,39,22,27.92,ML,2022-08-03 23:19:59
Hilo,19.7297,-155.09,84.25,75,0,10.36,US,2022-08-03 23:07:25
Nabire,-3.3667,135.4833,78.08,89,100,2.64,ID,2022-08-03 23:20:00
Shellbrook,53.2168,-106.4011,67.23,45,79,2.51,CA,2022-08-03 23:20:00
Carnarvon,-24.8667,113.6333,64.67,55,98,16.15,AU,2022-08-03 23:13:07
Meïganga,6.5167,14.3,65.37,97,100,2.46,CM,2022-08-03 23:20:01
Port Elizabeth,-33.918,25.5701,57.49,94,0,12.66,ZA,2022-08-03 23:19:59
Cape Town,-33.9258,18.4232,56.12,80,96,7.0,ZA,2022-08-03 23:10:07
Nanortalik,60.1432,-45.2371,49.8,95,100,21.65,GL,2022-08-03 23:11:52
Boa Vista,2.8197,-60.6733,75.18,83,75,3.44,BR,2022-08-03 23:20:04
Avarua,-21.2078,-159.775,78.85,53,20,13.8,CK,2022-08-03 23:11:53
Mossamedes,-15.1961,12.1522,60.17,80,2,5.73,AO,2022-08-03 23:20:05
Hobart,-42.8794,147.3294,55.26,74,20,12.66,AU,2022-08-03 23:12:04
Port Hardy,50.6996,-127.4199,55.58,100,100,5.75,CA,2022-08-03 23:12:20
Kapaa,22.0752,-159.319,84.52,69,20,14.97,US,2022-08-03 23:12:38
Hithadhoo,-0.6,73.0833,80.76,74,97,18.25,MV,2022-08-03 23:11:55
Verkhnyaya Inta,65.9811,60.3094,63.77,60,98,10.42,RU,2022-08-03 23:20:07
Khatanga,71.9667,102.5,51.39,65,100,9.91,RU,2022-08-03 23:12:22
Birao,10.2849,22.7882,71.22,96,85,1.01,CF,2022-08-03 23:20:08
Bredasdorp,-34.5322,20.0403,47.59,93,5,6.06,ZA,2022-08-03 23:11:19
Norman Wells,65.282,-126.8329,64.44,63,75,12.66,CA,2022-08-03 23:15:25
Rikitea,-23.1203,-134.9692,71.64,69,36,15.5,PF,2022-08-03 23:12:04
Paamiut,61.994,-49.6678,47.21,93,100,34.02,GL,2022-08-03 23:20:10
Kamenka,51.3223,42.7678,69.85,55,100,11.25,RU,2022-08-03 23:20:11
Nicoya,10.1483,-85.452,73.76,90,100,6.62,CR,2022-08-03 23:20:11
Oceanside,33.1959,-117.3795,94.19,71,0,11.5,US,2022-08-03 23:19:45
Trincomalee,8.5711,81.2335,79.41,81,100,26.98,LK,2022-08-03 23:20:12
Cockburn Town,21.4612,-71.1419,82.17,76,7,18.86,TC,2022-08-03 23:20:13
Arman',59.7,150.1667,57.02,85,100,4.97,RU,2022-08-03 23:20:14
Lagoa,39.05,-27.9833,74.88,89,4,7.43,PT,2022-08-03 23:20:14
Mugur-Aksy,50.35,90.5,48.27,81,54,2.48,RU,2022-08-03 23:20:15
Dingle,10.9995,122.6711,78.08,90,100,1.99,PH,2022-08-03 23:12:47
Ponta Delgada,37.7333,-25.6667,74.12,94,40,6.91,PT,2022-08-03 23:20:16
Albany,42.6001,-73.9662,87.64,49,4,3.18,US,2022-08-03 23:09:55
Kavieng,-2.5744,150.7967,82.51,78,93,17.92,PG,2022-08-03 23:12:03
Savannah Bight,16.45,-85.85,82.74,77,100,14.99,HN,2022-08-03 23:20:17
Jamestown,42.097,-79.2353,87.03,43,0,11.5,US,2022-08-03 23:12:53
Saint-Michel-des-Saints,46.6834,-73.9159,67.59,71,99,7.63,CA,2022-08-03 23:15:21
Hermanus,-34.4187,19.2345,48.79,84,4,12.08,ZA,2022-08-03 23:11:54
Butaritari,3.0707,172.7902,81.54,77,90,16.17,KI,2022-08-03 23:12:08
Lianhe,47.1333,129.2667,78.19,72,79,1.01,CN,2022-08-03 23:20:21
Qinhuangdao,39.9317,119.5883,83.79,75,99,3.71,CN,2022-08-03 23:20:21
Atuona,-9.8,-139.0333,77.36,80,15,13.6,PF,2022-08-03 23:12:11
Qaanaaq,77.484,-69.3632,45.82,61,63,1.88,GL,2022-08-03 23:12:01
East London,-33.0153,27.9116,69.26,50,66,5.41,ZA,2022-08-03 23:08:58
Chokurdakh,70.6333,147.9167,49.77,64,97,10.65,RU,2022-08-03 23:20:23
Yārāda,17.65,83.2667,82.72,83,40,2.3,IN,2022-08-03 23:20:23
Faanui,-16.4833,-151.75,78.67,75,11,22.53,PF,2022-08-03 23:20:24
Barrow,71.2906,-156.7887,51.82,71,0,16.11,US,2022-08-03 23:12:35
Saint George,37.1041,-113.5841,103.62,23,0,7.0,US,2022-08-03 23:12:10
Mataura,-46.1927,168.8643,46.65,72,100,5.14,NZ,2022-08-03 23:12:05
Bambous Virieux,-20.3428,57.7575,68.25,77,40,9.22,MU,2022-08-03 23:20:25
Itupiranga,-5.1347,-49.3267,80.92,49,8,3.27,BR,2022-08-03 23:20:26
George Town,5.4112,100.3354,79.9,91,40,3.44,MY,2022-08-03 23:16:53
Bluff,-46.6,168.3333,50.34,68,100,20.58,NZ,2022-08-03 23:12:51
Bac Lieu,9.285,105.7244,77.43,91,100,5.57,VN,2022-08-03 23:12:33
Rensvik,63.1,7.8167,57.47,88,75,9.22,NO,2022-08-03 23:20:27
Zheleznodorozhnyy,55.7503,38.0042,68.61,60,100,5.41,RU,2022-08-03 23:20:28
Yeppoon,-23.1333,150.7333,65.98,80,11,8.1,AU,2022-08-03 23:20:29
Vaini,-21.2,-175.2,80.76,94,40,10.36,TO,2022-08-03 23:12:06
Point Pedro,9.8167,80.2333,78.69,90,100,20.87,LK,2022-08-03 23:20:30
Itarema,-2.9248,-39.9167,77.22,78,53,12.41,BR,2022-08-03 23:20:30
Novobureyskiy,49.798,129.8774,74.32,75,70,2.51,RU,2022-08-03 23:20:31
Boende,-0.2167,20.8667,72.05,88,43,2.15,CD,2022-08-03 23:20:31
Pringsewu,-5.3582,104.9744,73.18,97,96,3.85,ID,2022-08-03 23:20:32
Verchères,45.7834,-73.3492,80.17,63,84,5.75,CA,2022-08-03 23:20:32
Hasaki,35.7333,140.8333,75.29,85,100,13.18,JP,2022-08-03 23:11:53
Christchurch,-43.5333,172.6333,56.48,71,100,6.91,NZ,2022-08-03 23:20:33
Mattru,7.6244,-11.8332,72.63,97,96,1.97,SL,2022-08-03 23:20:34
Korla,41.7597,86.1469,80.78,30,3,6.91,CN,2022-08-03 23:13:01
Toropets,56.4978,31.6353,59.67,89,70,3.6,RU,2022-08-03 23:20:34
Muros,42.7762,-9.0603,69.1,76,66,10.27,ES,2022-08-03 23:20:35
Upernavik,72.7868,-56.1549,42.6,77,5,12.37,GL,2022-08-03 23:18:11
Baghdad,33.3406,44.4009,93.11,24,0,5.75,IQ,2022-08-03 23:20:36
Saint-François,46.4154,3.9054,71.04,64,0,2.3,FR,2022-08-03 23:18:50
Flin Flon,54.7682,-101.865,67.84,42,75,6.91,CA,2022-08-03 23:20:36
Redding,40.5865,-122.3917,107.65,21,0,12.66,US,2022-08-03 23:20:24
Clyde River,70.4692,-68.5914,39.43,100,100,14.97,CA,2022-08-03 23:12:54
Saint-Philippe,-21.3585,55.7679,65.79,82,49,9.37,RE,2022-08-03 23:12:18
Mahabalipuram,12.6264,80.1722,82.45,81,100,6.31,IN,2022-08-03 23:20:38
São João da Barra,-21.6403,-41.0511,68.94,88,0,7.23,BR,2022-08-03 23:20:38
Chui,-33.6971,-53.4616,57.13,99,100,5.66,UY,2022-08-03 23:12:12
Port Keats,-14.25,129.55,75.63,79,53,2.62,AU,2022-08-03 23:20:39
Olovyannaya,50.95,115.5667,63.07,93,100,9.78,RU,2022-08-03 23:20:39
Borås,57.721,12.9401,63.55,99,22,4.63,SE,2022-08-03 23:20:25
Verkhoyansk,67.5447,133.385,46.63,93,100,6.64,RU,2022-08-03 23:20:40
Alexandria,31.2156,29.9553,78.75,68,0,9.19,EG,2022-08-03 23:17:37
La Ronge,55.1001,-105.2842,66.45,52,75,6.91,CA,2022-08-03 23:20:41
Tiksi,71.6872,128.8694,44.71,76,99,6.24,RU,2022-08-03 23:20:41
Bethel,41.3712,-73.414,87.37,56,0,3.67,US,2022-08-03 23:20:43
Druskininkai,54.0167,23.9667,58.69,70,6,4.29,LT,2022-08-03 23:20:44
Kensington,-33.9167,151.2167,68.77,68,0,18.41,AU,2022-08-03 23:20:44
Bonthe,7.5264,-12.505,75.83,88,98,7.65,SL,2022-08-03 23:20:45
Krasnosel'kup,65.7,82.4667,51.46,69,16,5.82,RU,2022-08-03 23:20:31
Evora,38.5667,-7.9,67.82,74,0,7.4,PT,2022-08-03 23:20:46
Alice Springs,-23.7,133.8833,69.22,32,100,17.27,AU,2022-08-03 23:19:29
Aksu,41.1231,80.2644,69.89,47,100,4.99,CN,2022-08-03 23:13:09
Thompson,55.7435,-97.8558,60.96,51,75,10.36,CA,2022-08-03 23:12:42
Naze,28.3667,129.4833,81.52,84,73,3.02,JP,2022-08-03 23:20:47
Ilhabela,-23.7781,-45.3581,67.91,90,13,8.41,BR,2022-08-03 23:20:47
Tokoroa,-38.2333,175.8667,54.95,83,4,3.0,NZ,2022-08-03 23:20:48
Ballina,-28.8667,153.5667,69.01,83,20,10.87,AU,2022-08-03 23:20:49
Mahébourg,-20.4081,57.7,68.29,77,40,9.22,MU,2022-08-03 23:16:34
Alofi,-19.0595,-169.9187,76.42,72,37,24.11,NU,2022-08-03 23:12:50
Puerto Ayora,-0.7393,-90.3518,70.56,82,75,11.01,EC,2022-08-03 23:09:11
Namtsy,62.7161,129.6658,69.26,78,90,4.25,RU,2022-08-03 23:20:50
Severo-Kuril'sk,50.6789,156.125,55.45,80,41,6.82,RU,2022-08-03 23:19:14
Zabul Province,32.25,67.25,73.22,22,2,5.21,AF,2022-08-03 23:20:51
Iralaya,15.0,-83.2333,80.55,82,100,9.84,HN,2022-08-03 23:20:51
La Santisima Trinidad,-14.8333,-64.9,84.18,70,40,3.44,BO,2022-08-03 23:19:52
Castro,-24.7911,-50.0119,60.22,69,3,4.34,BR,2022-08-03 23:12:33
Wankyi,7.7392,-2.1046,69.67,93,54,5.01,GH,2022-08-03 23:20:52
Bihać,44.8169,15.8708,67.82,64,0,1.95,BA,2022-08-03 23:20:53
Asău,46.4333,26.4,65.95,88,7,4.65,RO,2022-08-03 23:20:53
Talnakh,69.4865,88.3972,54.21,57,12,4.38,RU,2022-08-03 23:20:54
Necochea,-38.5473,-58.7368,46.31,93,1,6.17,AR,2022-08-03 23:13:11
Lavrentiya,65.5833,-171.0,49.89,80,35,7.63,RU,2022-08-03 23:12:12
Pevek,69.7008,170.3133,34.92,98,100,10.85,RU,2022-08-03 23:12:11
Ponta do Sol,32.6667,-17.1,70.72,80,2,8.32,PT,2022-08-03 23:11:55
Laurel,39.0993,-76.8483,90.99,62,20,6.91,US,2022-08-03 23:20:01
Maniitsoq,65.4167,-52.9,45.37,98,100,9.08,GL,2022-08-03 23:18:11
Brae,60.3964,-1.353,51.64,80,57,13.29,GB,2022-08-03 23:17:58
Kirakira,-10.4544,161.9205,83.77,72,8,9.48,SB,2022-08-03 23:20:56
Hobyo,5.3505,48.5268,76.05,82,96,26.33,SO,2022-08-03 23:12:59
Zhangjiakou,40.81,114.8794,76.51,74,94,3.51,CN,2022-08-03 23:20:57
Torbay,47.6666,-52.7314,71.38,83,73,10.0,CA,2022-08-03 23:13:00
Kozienice,51.5829,21.5478,68.58,26,18,6.06,PL,2022-08-03 23:20:58
Airai,-8.9266,125.4092,58.89,63,96,2.8,TL,2022-08-03 23:11:56
Arraial do Cabo,-22.9661,-42.0278,69.8,73,0,7.25,BR,2022-08-03 23:20:59
Tra Vinh,9.9347,106.3453,75.04,95,100,4.25,VN,2022-08-03 23:20:59
Kerchevskiy,59.946,56.2884,55.29,82,42,3.22,RU,2022-08-03 23:21:00
Srednekolymsk,67.45,153.6833,54.34,79,100,4.45,RU,2022-08-03 23:13:14
Sosnovo-Ozerskoye,52.5249,111.5418,59.43,75,100,6.4,RU,2022-08-03 23:21:01
Dunedin,-45.8742,170.5036,48.79,80,100,8.01,NZ,2022-08-03 23:17:51
Olafsvik,64.8945,-23.7142,48.02,70,30,10.98,IS,2022-08-03 23:13:00
Nago,26.5881,127.9761,86.45,78,100,2.64,JP,2022-08-03 23:21:02
Kaitangata,-46.2817,169.8464,47.07,75,100,5.23,NZ,2022-08-03 23:12:46
Port Alfred,-33.5906,26.891,59.18,91,28,1.01,ZA,2022-08-03 23:12:31
Orshanka,56.9161,47.8933,65.57,70,87,2.84,RU,2022-08-03 23:21:03
Katangli,51.7102,143.2326,58.48,94,99,7.61,RU,2022-08-03 23:21:04
Fandriana,-20.2333,47.3833,52.83,89,94,2.26,MG,2022-08-03 23:21:05
Heyang,26.1011,107.473,71.08,90,47,0.43,CN,2022-08-03 23:21:05
Gaza,31.5,34.4667,78.64,79,6,3.38,PS,2022-08-03 23:21:06
Rawson,-43.3002,-65.1023,46.69,74,22,13.65,AR,2022-08-03 23:21:06
Bathsheba,13.2167,-59.5167,83.01,88,75,19.57,BB,2022-08-03 23:21:07
Mezen',65.8522,44.24,52.16,81,50,6.78,RU,2022-08-03 23:21:07
Altagracia de Orituco,9.8601,-66.3814,73.15,95,100,3.98,VE,2022-08-03 23:21:08
North Branch,45.5113,-92.9802,80.67,61,0,5.01,US,2022-08-03 23:21:08
Longyearbyen,78.2186,15.6401,49.84,81,75,9.22,SJ,2022-08-03 23:18:49
Sterling,39.0062,-77.4286,89.91,60,20,8.01,US,2022-08-03 23:21:09
Bousso,10.4795,16.7117,75.36,76,28,3.4,TD,2022-08-03 23:21:10
Kargil,34.5667,76.1,55.56,62,10,6.22,IN,2022-08-03 23:21:10
Provideniya,64.3833,-173.3,44.71,100,75,13.42,RU,2022-08-03 23:21:11
San Patricio,28.017,-97.5169,95.72,48,38,21.3,US,2022-08-03 23:21:11
Neijiang,29.5835,105.0622,77.09,94,35,4.61,CN,2022-08-03 23:21:12
Constantine,36.365,6.6147,74.61,46,40,5.75,DZ,2022-08-03 23:21:12
Nueve de Julio,-35.4444,-60.8831,49.96,91,39,1.99,AR,2022-08-03 23:21:13
Santiago,-33.4569,-70.6483,54.28,66,75,11.5,CL,2022-08-03 23:18:25
Petropavlovsk-Kamchatskiy,53.0452,158.6483,63.19,68,20,6.71,RU,2022-08-03 23:19:15
Guarapari,-20.6667,-40.4975,71.89,90,2,2.71,BR,2022-08-03 23:21:14
Hong Kong,22.2855,114.1577,83.32,85,100,10.0,HK,2022-08-03 23:18:09
Los Zacatones,22.95,-102.05,79.95,28,84,13.98,MX,2022-08-03 23:21:15
Cayenne,4.9333,-52.3333,82.09,1,0,3.44,GF,2022-08-03 23:21:15
Coquimbo,-29.9533,-71.3436,53.33,87,20,3.44,CL,2022-08-03 23:21:16
Shingū,33.7333,135.9833,85.95,70,3,3.85,JP,2022-08-03 23:12:25
Bud,39.447,-86.1758,88.32,70,6,12.71,US,2022-08-03 23:21:16
Dikson,73.5069,80.5464,43.12,98,100,9.62,RU,2022-08-03 23:12:19
Cabra,37.4725,-4.4421,78.01,36,0,4.61,ES,2022-08-03 23:21:17
Lovington,32.944,-103.3485,102.33,17,34,14.32,US,2022-08-03 23:21:18
Pisco,-13.7,-76.2167,63.01,77,0,16.11,PE,2022-08-03 23:13:08
Yekimovichi,54.1129,33.2965,63.28,91,97,4.54,RU,2022-08-03 23:21:18
Saint Paul Harbor,57.79,-152.4072,65.71,59,75,9.22,US,2022-08-03 23:09:19
Bandrele,-12.9067,45.1914,67.75,88,0,3.44,YT,2022-08-03 23:21:20
Tilichiki,60.4667,166.1,58.05,68,56,10.94,RU,2022-08-03 23:21:20
Capão da Canoa,-29.7456,-50.0097,61.88,95,86,10.96,BR,2022-08-03 23:17:49
Camocim,-2.9022,-40.8411,78.42,74,50,15.23,BR,2022-08-03 23:21:21
Youkounkoun,12.5333,-13.1333,74.84,95,100,6.44,GN,2022-08-03 23:21:21
Panabá,21.2833,-88.2667,88.57,58,63,13.22,MX,2022-08-03 23:13:15
Lebu,-37.6167,-73.65,48.36,88,53,5.5,CL,2022-08-03 23:11:57
Zhoucheng,35.9122,116.3117,81.79,88,0,6.53,CN,2022-08-03 23:21:22
Saskylakh,71.9167,114.0833,48.16,56,100,11.74,RU,2022-08-03 23:11:56
Sambava,-14.2667,50.1667,65.89,87,5,9.53,MG,2022-08-03 23:21:23
Kumul,42.8,93.45,81.48,23,0,5.64,CN,2022-08-03 23:21:24
Tabory,58.5198,64.5495,53.64,87,9,1.3,RU,2022-08-03 23:21:25
Beloha,-25.1667,45.05,62.28,84,0,9.55,MG,2022-08-03 23:21:25
Dwārka,22.2394,68.9678,82.17,77,100,10.09,IN,2022-08-03 23:21:25
Namwala,-15.7504,26.4384,60.01,59,0,4.9,ZM,2022-08-03 23:21:26
Yulara,-25.2406,130.9889,57.13,45,69,7.47,AU,2022-08-03 23:21:26
San Quintín,30.4833,-115.95,75.72,69,49,17.83,MX,2022-08-03 23:12:02
Katsuura,35.1333,140.3,75.22,91,94,16.6,JP,2022-08-03 23:16:33
Narasapuram,16.45,81.6667,79.25,89,100,2.71,IN,2022-08-03 23:21:28
Bubaque,11.2833,-15.8333,80.13,81,100,10.83,GW,2022-08-03 23:18:16
Coyhaique,-45.5752,-72.0662,39.15,81,75,6.91,CL,2022-08-03 23:13:06
Laas,46.6166,10.7002,65.7,90,17,1.86,IT,2022-08-03 23:12:00
Beringovskiy,63.05,179.3167,51.69,80,100,6.98,RU,2022-08-03 23:21:30
Orissaare,58.5592,23.0826,65.95,68,19,9.31,EE,2022-08-03 23:21:31
Smidovich,48.6,133.8167,70.54,88,99,6.73,RU,2022-08-03 23:21:31
Tuktoyaktuk,69.4541,-133.0374,47.53,80,95,5.99,CA,2022-08-03 23:12:17
Vestmannaeyjar,63.4427,-20.2734,47.55,76,67,25.59,IS,2022-08-03 23:12:55
Aripuanã,-9.1667,-60.6333,83.1,47,83,1.72,BR,2022-08-03 23:21:32
Ixtapa,20.7,-105.2,84.22,61,100,6.91,MX,2022-08-03 23:21:33
Løpsmarka,67.3134,14.4493,57.51,94,100,6.91,NO,2022-08-03 23:21:33
Portland,45.5234,-122.6762,90.55,34,20,11.5,US,2022-08-03 23:17:11
Qasigiannguit,68.8193,-51.1922,50.25,62,100,3.69,GL,2022-08-03 23:21:34
Kawalu,-7.3817,108.2082,71.89,97,100,0.81,ID,2022-08-03 23:20:33
Guerrero Negro,27.9769,-114.0611,77.81,63,19,19.01,MX,2022-08-03 23:07:48
Salobreña,36.7428,-3.5872,86.47,53,0,3.36,ES,2022-08-03 23:21:35
Urusha,54.05,122.9,61.9,97,100,0.83,RU,2022-08-03 23:21:36
Esna,25.2934,32.554,86.02,18,2,12.91,EG,2022-08-03 23:21:36
Plettenberg Bay,-34.0527,23.3716,57.78,90,89,5.44,ZA,2022-08-03 23:21:37
Yauya,-8.9833,-77.3,56.95,53,68,6.4,PE,2022-08-03 23:21:37
Bima,-8.4667,118.7167,75.27,80,27,4.79,ID,2022-08-03 23:21:38
Bengkulu,-3.8004,102.2655,73.99,92,95,2.91,ID,2022-08-03 23:19:07
Hay River,60.8156,-115.7999,64.38,52,20,17.27,CA,2022-08-03 23:21:38
The Valley,18.217,-63.0578,84.34,74,20,13.8,AI,2022-08-03 23:21:39
Popondetta,-8.7537,148.2534,84.61,56,45,2.21,PG,2022-08-03 23:21:40
Yar-Sale,66.8333,70.8333,57.6,68,52,8.9,RU,2022-08-03 23:21:40
Amānganj,24.4333,80.0333,81.32,77,72,3.6,IN,2022-08-03 23:21:41
Suure-Jaani,58.5361,25.4706,55.85,57,6,5.41,EE,2022-08-03 23:21:41
Edd,13.9297,41.6925,89.33,61,100,4.97,ER,2022-08-03 23:19:15
Menongue,-14.6585,17.691,59.52,47,9,0.85,AO,2022-08-03 23:21:11
Madison Heights,42.4859,-83.1052,82.98,87,100,11.5,US,2022-08-03 23:17:44
Gisborne,-38.6533,178.0042,58.5,63,1,4.21,NZ,2022-08-03 23:21:42
Mount Isa,-20.7333,139.5,78.57,53,75,11.5,AU,2022-08-03 23:21:43
Umluj,25.0213,37.2685,86.09,66,74,4.18,SA,2022-08-03 23:21:44
Otane,-39.8833,176.6333,56.77,64,0,2.51,NZ,2022-08-03 23:21:44
Iqaluit,63.7506,-68.5145,49.69,71,23,8.99,CA,2022-08-03 23:11:57
Souillac,-20.5167,57.5167,68.38,77,40,9.22,MU,2022-08-03 23:21:45
Miraflores,19.2167,-98.8083,75.87,54,81,3.76,MX,2022-08-03 23:21:46
Kommunar,59.6206,30.39,62.13,83,35,4.68,RU,2022-08-03 23:21:46
Kamaishi,39.2667,141.8833,70.12,86,86,6.31,JP,2022-08-03 23:21:47
North Bend,43.4065,-124.2243,74.25,81,0,13.8,US,2022-08-03 23:21:47
Saint-Pierre,-21.3393,55.4781,65.88,79,20,5.75,RE,2022-08-03 23:21:48
Graham,47.0529,-122.2943,80.37,48,0,10.36,US,2022-08-03 23:21:48
Lorengau,-2.0226,147.2712,81.61,82,90,12.03,PG,2022-08-03 23:12:18
Broome,42.2506,-75.833,87.1,45,0,5.75,US,2022-08-03 23:21:49
Hundorp,61.5552,9.9407,52.41,88,48,3.29,NO,2022-08-03 23:21:49
Ružomberok,49.0748,19.3075,57.99,87,0,2.89,SK,2022-08-03 23:20:12
Cherskiy,68.75,161.3,50.45,71,100,8.52,RU,2022-08-03 23:21:50
Adrar,20.5022,-10.0711,97.07,24,7,13.71,MR,2022-08-03 23:21:52
Kalamb,19.05,73.95,74.59,89,100,5.21,IN,2022-08-03 23:21:52
Hambantota,6.1241,81.1185,78.21,77,100,25.26,LK,2022-08-03 23:21:53
Gamba,-2.65,10.0,69.49,89,5,7.31,GA,2022-08-03 23:21:53
Mehamn,71.0357,27.8492,55.31,87,59,9.48,NO,2022-08-03 23:12:29
Walvis Bay,-22.9575,14.5053,53.1,93,30,4.61,NA,2022-08-03 23:21:54
Iguape,-24.7081,-47.5553,65.3,94,1,9.33,BR,2022-08-03 23:21:54
Solnechnyy,50.7214,136.6319,64.36,90,93,4.56,RU,2022-08-03 23:21:55
Richards Bay,-28.783,32.0377,64.83,73,23,14.32,ZA,2022-08-03 23:09:33
Ocampo,21.65,-101.5,71.19,46,88,6.42,MX,2022-08-03 23:21:56
Chato,-2.6378,31.7669,70.39,62,70,4.23,TZ,2022-08-03 23:21:56
Krasnovishersk,60.4078,57.082,55.08,85,23,2.66,RU,2022-08-03 23:21:56
Tongren,27.7172,109.1853,81.25,74,73,0.43,CN,2022-08-03 23:21:57
Vanimo,-2.6741,141.3028,79.47,88,100,5.88,PG,2022-08-03 23:21:57
Constitución,-35.3333,-72.4167,49.53,83,72,10.13,CL,2022-08-03 23:13:14
Sinnamary,5.3833,-52.95,78.44,87,78,10.42,GF,2022-08-03 23:21:58
Ancud,-41.8697,-73.8203,42.22,83,85,7.9,CL,2022-08-03 23:21:59
Najrān,17.4924,44.1277,81.25,54,89,5.93,SA,2022-08-03 23:21:59
New Norfolk,-42.7826,147.0587,54.91,84,40,5.53,AU,2022-08-03 23:12:34
Linguère,15.3953,-15.1193,82.2,69,100,8.59,SN,2022-08-03 23:22:00
Arcata,40.8665,-124.0828,74.19,75,20,10.36,US,2022-08-03 23:22:00
Ust-Tsilma,65.441,52.1498,59.0,92,88,4.38,RU,2022-08-03 23:22:01
Rundu,-17.9333,19.7667,62.15,41,3,3.29,NA,2022-08-03 23:22:01
Hetauda,27.4284,85.0322,81.75,91,100,3.67,NP,2022-08-03 23:22:02
Serebryansk,49.6925,83.2892,55.9,88,34,3.65,KZ,2022-08-03 23:22:02
Kabalo,-6.05,26.9167,75.61,39,1,4.18,CD,2022-08-03 23:22:03
Araguaína,-7.1911,-48.2072,81.36,30,81,3.4,BR,2022-08-03 23:22:04
Misratah,32.3754,15.0925,82.11,64,0,8.3,LY,2022-08-03 23:22:04
Conchas,-23.0153,-48.0106,66.34,58,0,7.85,BR,2022-08-03 23:22:04
Nouakchott,18.0858,-15.9785,80.53,81,100,11.95,MR,2022-08-03 23:22:05
Xalapa,19.5333,-96.9167,72.07,67,2,6.11,MX,2022-08-03 23:18:53
Kattivākkam,13.2167,80.3167,82.49,87,100,7.78,IN,2022-08-03 23:22:06
San Isidro,-12.1167,-77.05,65.01,75,100,11.5,PE,2022-08-03 23:21:46
